sep=;
"Dt. Negociação";"Conta";"Ativo";"Preço";"Quantidade Compra";"Quantidade Venda";"Financeiro Compra";"Financeiro Venda"
07/08/2023;6151825;"HGLG11";163,58;3;0;490,74;0,00
07/08/2023;6151825;"TOTS3F";29,26;18;0;526,68;0,00
